positive_ratings,log_pos_ratings,price,log_price,achievements,log_achievements,required_age,english,release_year,windows,mac,linux,n_categories,n_genres,n_tags,popular
124534,11.732342079876805,7.19,2.102913897864978,0,0,0,1,2000,TRUE,TRUE,TRUE,4,1,3,TRUE
3318,8.107418811719974,3.99,1.6074359097634274,0,0,0,1,1999,TRUE,TRUE,TRUE,4,1,3,TRUE
3416,8.136518252115291,3.99,1.6074359097634274,0,0,0,1,2003,TRUE,TRUE,TRUE,2,1,3,TRUE
1273,7.149916836132109,3.99,1.6074359097634274,0,0,0,1,2001,TRUE,TRUE,TRUE,4,1,3,TRUE
5250,8.566173813637858,3.99,1.6074359097634274,0,0,0,1,1999,TRUE,TRUE,TRUE,3,1,3,TRUE
2758,7.922623574217286,3.99,1.6074359097634274,0,0,0,1,2000,TRUE,TRUE,TRUE,3,1,3,TRUE
27755,10.23120731201944,7.19,2.102913897864978,0,0,0,1,1998,TRUE,TRUE,TRUE,5,1,3,TRUE
12120,9.402694764470512,7.19,2.102913897864978,0,0,0,1,2004,TRUE,TRUE,TRUE,3,1,3,TRUE
3822,8.248790733696413,3.99,1.6074359097634274,0,0,0,1,2001,TRUE,TRUE,TRUE,1,1,3,TRUE
67902,11.125835495192266,7.19,2.102913897864978,33,3.5263605246161616,0,1,2004,TRUE,TRUE,TRUE,7,1,3,TRUE
76640,11.24688746057632,7.19,2.102913897864978,147,4.997212273764115,0,1,2004,TRUE,TRUE,TRUE,7,1,3,TRUE
3767,8.234299635696253,0,0,0,0,0,1,2004,TRUE,TRUE,TRUE,1,1,3,TRUE
10489,9.258177701390343,7.19,2.102913897864978,54,4.007333185232471,0,1,2010,TRUE,TRUE,TRUE,7,1,3,TRUE
6020,8.703008637464448,3.99,1.6074359097634274,0,0,0,1,2004,TRUE,TRUE,TRUE,3,1,3,TRUE
5783,8.6628507638386,0,0,0,0,0,1,2005,TRUE,TRUE,TRUE,2,1,3,TRUE
1362,7.217443431696533,0,0,0,0,0,1,2006,TRUE,TRUE,TRUE,2,1,3,TRUE
7908,8.975756630519417,5.79,1.9154509415706047,13,2.6390573296152584,0,1,2006,TRUE,TRUE,TRUE,8,1,3,TRUE
51801,10.855184037540836,7.19,2.102913897864978,15,2.772588722239781,0,1,2007,TRUE,TRUE,TRUE,7,1,3,TRUE
13902,9.539859923169542,5.79,1.9154509415706047,22,3.1354942159291497,0,1,2007,TRUE,TRUE,TRUE,8,1,3,TRUE
515879,13.153629459278328,0,0,520,6.255750041753367,0,1,2007,TRUE,TRUE,TRUE,12,2,3,TRUE
17951,9.795456808322422,7.19,2.102913897864978,73,4.30406509320417,0,1,2008,TRUE,TRUE,FALSE,12,1,3,TRUE
251789,12.436350685744983,7.19,2.102913897864978,70,4.2626798770413155,0,1,2009,TRUE,TRUE,TRUE,13,1,3,TRUE
863507,13.668758441146684,0,0,0,0,0,1,2013,TRUE,TRUE,TRUE,7,3,3,TRUE
138220,11.836609132462218,7.19,2.102913897864978,51,3.9512437185814275,0,1,2011,TRUE,TRUE,TRUE,11,2,3,TRUE
17435,9.766292313358283,0,0,66,4.204692619390966,0,1,2010,TRUE,FALSE,FALSE,8,1,3,TRUE
2644404,14.787956645227853,0,0,167,5.123963979403259,0,1,2012,TRUE,TRUE,TRUE,8,2,3,TRUE
40,3.713572066704308,5.99,1.944480556245719,0,0,0,1,2005,TRUE,FALSE,FALSE,2,1,3,FALSE
1562,7.354362330421477,3.99,1.6074359097634274,44,3.8066624897703196,0,1,2006,TRUE,TRUE,TRUE,3,1,3,TRUE
53710,10.891373101232979,14.99,2.771963526845863,285,5.655991810819852,0,1,2009,TRUE,TRUE,TRUE,10,1,3,TRUE
468,6.150602768446279,7.19,2.102913897864978,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
472,6.159095388491933,7.19,2.102913897864978,0,0,0,1,2005,TRUE,TRUE,TRUE,1,2,3,FALSE
1602,7.3796321526095525,6.99,2.0781907597781832,0,0,0,1,2006,TRUE,TRUE,TRUE,1,2,3,TRUE
2057,7.629489916393995,7.19,2.102913897864978,22,3.1354942159291497,0,1,2006,TRUE,TRUE,TRUE,2,2,3,TRUE
368,5.910796644040527,7.19,2.102913897864978,12,2.5649493574615367,0,1,2008,TRUE,TRUE,FALSE,3,1,3,FALSE
140,4.948759890378168,22.99,3.177637076851603,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
112,4.727387818712341,6.99,2.0781907597781832,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
451,6.113682179832232,4.99,1.7900914121273581,0,0,0,1,2006,TRUE,FALSE,FALSE,3,1,3,FALSE
490,6.19644412779452,4.99,1.7900914121273581,0,0,0,1,2006,TRUE,FALSE,FALSE,3,1,3,FALSE
137,4.927253685157205,3.99,1.6074359097634274,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
191,5.2574953720277815,10.99,2.4840729690394228,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
671,6.5102583405231496,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
15083,9.621389858378247,0,0,0,0,0,1,2012,TRUE,FALSE,FALSE,1,2,3,TRUE
